ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
203848_at, 203847_s_at	A-kinase anchoring protein 8(AKAP8)	Homo sapiens		h_akap95Pathway:AKAP95 role in mitosis and chromosome dynamics,		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007067~mitotic nuclear division,GO:0007076~mitotic chromosome condensation,GO:0007165~signal transduction,GO:0015031~protein transport,GO:0031065~positive regulation of histone deacetylation,GO:0032720~negative regulation of tumor necrosis factor production,GO:0033127~regulation of histone phosphorylation,GO:0044839~cell cycle G2/M phase transition,GO:0045087~innate immune response,GO:0071222~cellular response to lipopolysaccharide,GO:0071380~cellular response to prostaglandin E stimulus,	GO:0000793~condensed chromosome,GO:0001939~female pronucleus,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005739~mitochondrion,GO:0005794~Golgi apparatus,GO:0016020~membrane,GO:0016363~nuclear matrix,	GO:0003677~DNA binding,GO:0003690~double-stranded DNA binding,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0017151~DEAD/H-box RNA helicase binding,GO:0034237~protein kinase A regulatory subunit binding,GO:0042826~histone deacetylase binding,GO:0044822~poly(A) RNA binding,GO:0051059~NF-kappaB binding,	IPR007071:A-kinase anchoring protein 95 (AKAP95),					Complete proteome,Cytoplasm,DNA-binding,Immunity,Innate immunity,Metal-binding,Methylation,Nucleus,Phosphoprotein,Polymorphism,Protein transport,Proteomics identification,Reference proteome,Repeat,Transcription,Transcription regulation,Transport,Zinc,Zinc-finger,	chain:A-kinase anchor protein 8,compositionally biased region:Poly-Gly,modified residue,region of interest:RII-binding,sequence variant,short sequence motif:Nuclear localization signal,zinc finger region:C2H2 AKAP95-type 1,zinc finger region:C2H2 AKAP95-type 2,
207870_at, 215483_at, 210962_s_at	A-kinase anchoring protein 9(AKAP9)	Homo sapiens		h_akapcentrosomePathway:Protein Kinase A at the Centrosome,		GO:0000086~G2/M transition of mitotic cell cycle,GO:0000165~MAPK cascade,GO:0006810~transport,GO:0007020~microtubule nucleation,GO:0007165~signal transduction,GO:0007194~negative regulation of adenylate cyclase activity,GO:0007268~chemical synaptic transmission,GO:0033138~positive regulation of peptidyl-serine phosphorylation,GO:0043547~positive regulation of GTPase activity,GO:0051602~response to electrical stimulus,GO:0060306~regulation of membrane repolarization,GO:0060307~regulation of ventricular cardiac muscle cell membrane repolarization,GO:0061337~cardiac conduction,GO:0071320~cellular response to cAMP,GO:0086091~regulation of heart rate by cardiac conduction,GO:0098909~regulation of cardiac muscle cell action potential involved in regulation of contraction,GO:1901018~positive regulation of potassium ion transmembrane transporter activity,	GO:0005794~Golgi apparatus,GO:0005795~Golgi stack,GO:0005801~cis-Golgi network,GO:0005813~centrosome,GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0008076~voltage-gated potassium channel complex,GO:0043025~neuronal cell body,GO:0043231~intracellular membrane-bounded organelle,GO:0044307~dendritic branch,GO:0097060~synaptic membrane,	GO:0003677~DNA binding,GO:0005088~Ras guanyl-nucleotide exchange factor activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0015459~potassium channel regulator activity,GO:0016301~kinase activity,GO:0032947~protein complex scaffold,GO:0034237~protein kinase A regulatory subunit binding,GO:0044325~ion channel binding,	IPR005539:ELK,IPR019528:Pericentrin/AKAP-450 centrosomal targeting domain,		611820~Long QT syndrome-11,		SM01188:SM01188,	Alternative splicing,Coiled coil,Complete proteome,Cytoplasm,Cytoskeleton,Disease mutation,Golgi apparatus,Kinase,Long QT syndrome,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Transferase,	chain:A-kinase anchor protein 9,compositionally biased region:Gln-rich,compositionally biased region:Glu-rich,compositionally biased region:Poly-Leu,modified residue,region of interest:PKA-RII subunit binding domain,sequence conflict,sequence variant,splice variant,
219953_s_at, 220987_s_at	A-kinase interacting protein 1(AKIP1)	Homo sapiens				GO:0034446~substrate adhesion-dependent cell spreading,GO:1901222~regulation of NIK/NF-kappaB signaling,	GO:0005654~nucleoplasm,	GO:0005515~protein binding,						Alternative splicing,Complete proteome,Nucleus,Polymorphism,Proteomics identification,Proto-oncogene,Reference proteome,	chain:Proline-rich protein BCA3,sequence conflict,sequence variant,splice variant,
218089_at	AAR2 splicing factor homolog(AAR2)	Homo sapiens				GO:0000244~spliceosomal tri-snRNP complex assembly,			IPR007946:A1 cistron-splicing factor, AAR2,					Acetylation,Complete proteome,Polymorphism,Proteomics identification,Reference proteome,	chain:Uncharacterized protein C20orf4,modified residue,sequence conflict,sequence variant,
202740_at	ABHD14A-ACY1 readthrough(ABHD14A-ACY1)	Homo sapiens				GO:0006520~cellular amino acid metabolic process,GO:0043171~peptide catabolic process,	GO:0005737~cytoplasm,	GO:0004046~aminoacylase activity,GO:0008237~metallopeptidase activity,GO:0008270~zinc ion binding,GO:0070573~metallodipeptidase activity,	IPR001261:ArgE/DapE/ACY1/CPG2/YscS, conserved site,IPR002933:Peptidase M20,IPR010159:N-acyl-L-amino-acid amidohydrolase,IPR011650:Peptidase M20, dimerisation domain,					Complete proteome,Reference proteome,Signal,
220518_at	ABI family member 3 binding protein(ABI3BP)	Homo sapiens				GO:0010811~positive regulation of cell-substrate adhesion,GO:0030198~extracellular matrix organization,	GO:0005614~interstitial matrix,GO:0005615~extracellular space,GO:0031012~extracellular matrix,	GO:0005518~collagen binding,GO:0008201~heparin binding,	IPR003961:Fibronectin, type III,IPR013783:Immunoglobulin-like fold,				SM00060:FN3,	Alternative splicing,Complete proteome,Glycoprotein,Proteomics identification,Reference proteome,Repeat,Secreted,Signal,	chain:Target of Nesh-SH3,compositionally biased region:Pro-rich,domain:Fibronectin type-III 1,domain:Fibronectin type-III 2,glycosylation site:N-linked (GlcNAc...),signal peptide,splice variant,
202123_s_at	ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)	Homo sapiens		h_arfPathway:Tumor Suppressor Arf Inhibits Ribosomal Biogenesis,h_atmPathway:ATM Signaling Pathway,h_g1Pathway:Cell Cycle: G1/S Check Point ,h_Lis1Pathway:Lissencephaly gene (LIS1) in neuronal migration and development,		GO:0001922~B-1 B cell homeostasis,GO:0001934~positive regulation of protein phosphorylation,GO:0002322~B cell proliferation involved in immune response,GO:0002333~transitional one stage B cell differentiation,GO:0006298~mismatch repair,GO:0006355~regulation of transcription, DNA-templated,GO:0006464~cellular protein modification process,GO:0006914~autophagy,GO:0006974~cellular response to DNA damage stimulus,GO:0006975~DNA damage induced protein phosphorylation,GO:0006979~response to oxidative stress,GO:0007050~cell cycle arrest,GO:0007067~mitotic nuclear division,GO:0007173~epidermal growth factor receptor signaling pathway,GO:0007204~positive regulation of cytosolic calcium ion concentration,GO:0008306~associative learning,GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage,GO:0010506~regulation of autophagy,GO:0016477~cell migration,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0021587~cerebellum morphogenesis,GO:0022408~negative regulation of cell-cell adhesion,GO:0030035~microspike assembly,GO:0030036~actin cytoskeleton organization,GO:0030041~actin filament polymerization,GO:0030100~regulation of endocytosis,GO:0030155~regulation of cell adhesion,GO:0030514~negative regulation of BMP signaling pathway,GO:0030516~regulation of axon extension,GO:0031113~regulation of microtubule polymerization,GO:0032956~regulation of actin cytoskeleton organization,GO:0033690~positive regulation of osteoblast proliferation,GO:0034446~substrate adhesion-dependent cell spreading,GO:0034599~cellular response to oxidative stress,GO:0034976~response to endoplasmic reticulum stress,GO:0035791~platelet-derived growth factor receptor-beta signaling pathway,GO:0038083~peptidyl-tyrosine autophosphorylation,GO:0038096~Fc-gamma receptor signaling pathway involved in phagocytosis,GO:0042127~regulation of cell proliferation,GO:0042493~response to drug,GO:0042770~signal transduction in response to DNA damage,GO:0043065~positive regulation of apoptotic process,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0043124~negative regulation of I-kappaB kinase/NF-kappaB signaling,GO:0043525~positive regulation of neuron apoptotic process,GO:0045087~innate immune response,GO:0045184~establishment of protein localization,GO:0045907~positive regulation of vasoconstriction,GO:0045930~negative regulation of mitotic cell cycle,GO:0045931~positive regulation of mitotic cell cycle,GO:0046632~alpha-beta T cell differentiation,GO:0046777~protein autophosphorylation,GO:0048146~positive regulation of fibroblast proliferation,GO:0048536~spleen development,GO:0048538~thymus development,GO:0048668~collateral sprouting,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,GO:0050798~activated T cell proliferation,GO:0050853~B cell receptor signaling pathway,GO:0050885~neuromuscular process controlling balance,GO:0051149~positive regulation of muscle cell differentiation,GO:0051281~positive regulation of release of sequestered calcium ion into cytosol,GO:0051353~positive regulation of oxidoreductase activity,GO:0051444~negative regulation of ubiquitin-protein transferase activity,GO:0051882~mitochondrial depolarization,GO:0060020~Bergmann glial cell differentiation,GO:0070301~cellular response to hydrogen peroxide,GO:0070373~negative regulation of ERK1 and ERK2 cascade,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071222~cellular response to lipopolysaccharide,GO:0071560~cellular response to transforming growth factor beta stimulus,GO:0071871~response to epinephrine,GO:0071901~negative regulation of protein serine/threonine kinase activity,GO:0090135~actin filament branching,GO:1900006~positive regulation of dendrite development,GO:1900042~positive regulation of interleukin-2 secretion,GO:1900275~negative regulation of phospholipase C activity,GO:1901216~positive regulation of neuron death,GO:1901300~positive regulation of hydrogen peroxide-mediated programmed cell death,GO:1902715~positive regulation of interferon-gamma secretion,GO:1903053~regulation of extracellular matrix organization,GO:1903055~positive regulation of extracellular matrix organization,GO:1903210~glomerular visceral epithelial cell apoptotic process,GO:1903351~cellular response to dopamine,GO:1904528~positive regulation of microtubule binding,GO:1904531~positive regulation of actin filament binding,GO:1990051~activation of protein kinase C activity,GO:2000096~positive regulation of Wnt signaling pathway, planar cell polarity pathway,GO:2000145~regulation of cell motility,GO:2000249~regulation of actin cytoskeleton reorganization,GO:2000352~negative regulation of endothelial cell apoptotic process,GO:2000773~negative regulation of cellular senescence,GO:2001020~regulation of response to DNA damage stimulus,	GO:0001726~ruffle,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005783~endoplasmic reticulum,GO:0005829~cytosol,GO:0015629~actin cytoskeleton,GO:0030426~growth cone,GO:0031234~extrinsic component of cytoplasmic side of plasma membrane,GO:0031252~cell leading edge,GO:0031965~nuclear membrane,GO:0043025~neuronal cell body,GO:0045202~synapse,GO:0048471~perinuclear region of cytoplasm,	GO:0000287~magnesium ion binding,GO:0003677~DNA binding,GO:0003785~actin monomer binding,GO:0004515~nicotinate-nucleotide adenylyltransferase activity,GO:0004672~protein kinase activity,GO:0004713~protein tyrosine kinase activity,GO:0004715~non-membrane spanning protein tyrosine kinase activity,GO:0005080~protein kinase C binding,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008022~protein C-terminus binding,GO:0017124~SH3 domain binding,GO:0019905~syntaxin binding,GO:0030145~manganese ion binding,GO:0051015~actin filament binding,GO:0051019~mitogen-activated protein kinase binding,GO:0070064~proline-rich region binding,	IPR000719:Protein kinase, catalytic domain,IPR000980:SH2 domain,IPR001245:Serine-threonine/tyrosine-protein kinase catalytic domain,IPR001452:Src homology-3 domain,IPR008266:Tyrosine-protein kinase, active site,IPR011009:Protein kinase-like domain,IPR015015:F-actin binding,IPR017441:Protein kinase, ATP binding site,IPR020635:Tyrosine-protein kinase, catalytic domain,	hsa04012:ErbB signaling pathway,hsa04014:Ras signaling pathway,hsa04110:Cell cycle,hsa04360:Axon guidance,hsa04722:Neurotrophin signaling pathway,hsa05130:Pathogenic Escherichia coli infection,hsa05131:Shigellosis,hsa05200:Pathways in cancer,hsa05206:MicroRNAs in cancer,hsa05220:Chronic myeloid leukemia,hsa05416:Viral myocarditis,	Leukemia, Philadelphia chromosome-positive, resistant to imatinib~Leukemia, Philadelphia chromosome-positive, resistant to imatinib,		SM00219:TyrKc,SM00252:SH2,SM00326:SH3,SM00808:FABD,	3D-structure,Acetylation,Alternative splicing,Apoptosis,ATP-binding,Autophagy,Cell adhesion,Chromosomal rearrangement,Complete proteome,Cytoplasm,Cytoskeleton,DNA damage,DNA repair,DNA-binding,Endocytosis,Kinase,Lipoprotein,Magnesium,Manganese,Membrane,Metal-binding,Mitochondrion,Myristate,Nucleotide-binding,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Proto-oncogene,Reference proteome,SH2 domain,SH3 domain,Transferase,Tyrosine-protein kinase,Ubl conjugation,	active site:Proton acceptor,binding site:ATP,chain:Proto-oncogene tyrosine-protein kinase ABL1,compositionally biased region:Poly-Lys,compositionally biased region:Poly-Pro,compositionally biased region:Poly-Ser,compositionally biased region:Pro-rich,domain:Protein kinase,domain:SH2,domain:SH3,helix,modified residue,mutagenesis site,nucleotide phosphate-binding region:ATP,region of interest:CAP,sequence conflict,sequence variant,short sequence motif:Kinase activation loop,short sequence motif:Nuclear localization signal,site:Breakpoint for translocation to form BCR- ABL oncogene,splice variant,strand,turn,
206411_s_at	ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)	Homo sapiens				GO:0006464~cellular protein modification process,GO:0007155~cell adhesion,GO:0007165~signal transduction,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007204~positive regulation of cytosolic calcium ion concentration,GO:0010506~regulation of autophagy,GO:0010863~positive regulation of phospholipase C activity,GO:0010976~positive regulation of neuron projection development,GO:0016477~cell migration,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0030036~actin cytoskeleton organization,GO:0030100~regulation of endocytosis,GO:0030155~regulation of cell adhesion,GO:0038083~peptidyl-tyrosine autophosphorylation,GO:0042127~regulation of cell proliferation,GO:0045087~innate immune response,GO:0051353~positive regulation of oxidoreductase activity,GO:0071300~cellular response to retinoic acid,GO:2000145~regulation of cell motility,GO:2000249~regulation of actin cytoskeleton reorganization,	GO:0005829~cytosol,GO:0015629~actin cytoskeleton,GO:0031234~extrinsic component of cytoplasmic side of plasma membrane,	GO:0000287~magnesium ion binding,GO:0003785~actin monomer binding,GO:0004672~protein kinase activity,GO:0004713~protein tyrosine kinase activity,GO:0004715~non-membrane spanning protein tyrosine kinase activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0030145~manganese ion binding,GO:0051015~actin filament binding,	IPR000719:Protein kinase, catalytic domain,IPR000980:SH2 domain,IPR001245:Serine-threonine/tyrosine-protein kinase catalytic domain,IPR001452:Src homology-3 domain,IPR008266:Tyrosine-protein kinase, active site,IPR011009:Protein kinase-like domain,IPR015015:F-actin binding,IPR017441:Protein kinase, ATP binding site,IPR020635:Tyrosine-protein kinase, catalytic domain,	hsa04012:ErbB signaling pathway,hsa04014:Ras signaling pathway,hsa05416:Viral myocarditis,	Leukemia, acute myeloid, with eosinophilia~Leukemia, acute myeloid, with eosinophilia,		SM00219:TyrKc,SM00252:SH2,SM00326:SH3,SM00808:FABD,	3D-structure,Acetylation,Alternative splicing,ATP-binding,Cell adhesion,Complete proteome,Cytoplasm,Cytoskeleton,Kinase,Lipoprotein,Magnesium,Manganese,Metal-binding,Myristate,Nucleotide-binding,Phosphoprotein,Polymorphism,Reference proteome,SH2 domain,SH3 domain,Transferase,Tyrosine-protein kinase,Ubl conjugation,	active site:Proton acceptor,binding site:ATP,chain:Tyrosine-protein kinase ABL2,compositionally biased region:Poly-Gly,compositionally biased region:Poly-Pro,compositionally biased region:Poly-Ser,compositionally biased region:Pro-rich,domain:Protein kinase,domain:SH2,domain:SH3,helix,lipid moiety-binding region:N-myristoyl glycine,modified residue,nucleotide phosphate-binding region:ATP,region of interest:CAP,sequence conflict,sequence variant,short sequence motif:Kinase activation loop,short sequence motif:Nuclear localization signal,splice variant,strand,
216929_x_at, 214504_at	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)(ABO)	Homo sapiens				GO:0005975~carbohydrate metabolic process,GO:0006486~protein glycosylation,GO:0009247~glycolipid biosynthetic process,GO:0030259~lipid glycosylation,	GO:0005576~extracellular region,GO:0005794~Golgi apparatus,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0031982~vesicle,GO:0032580~Golgi cisterna membrane,	GO:0004380~glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase activity,GO:0004381~fucosylgalactoside 3-alpha-galactosyltransferase activity,GO:0016740~transferase activity,GO:0016757~transferase activity, transferring glycosyl groups,GO:0016758~transferase activity, transferring hexosyl groups,GO:0046872~metal ion binding,GO:0047276~N-acetyllactosaminide 3-alpha-galactosyltransferase activity,	IPR005076:Glycosyl transferase, family 6,	hsa00601:Glycosphingolipid biosynthesis - lacto and neolacto series,hsa01100:Metabolic pathways,	616093~Blood group, ABO system,			3D-structure,Blood group antigen,Complete proteome,Direct protein sequencing,Glycoprotein,Glycosyltransferase,Golgi apparatus,Manganese,Membrane,Metal-binding,Polymorphism,Proteomics identification,Reference proteome,Secreted,Signal,Signal-anchor,Transferase,Transmembrane,Transmembrane helix,	binding site:Glycoprotein fucosyl-galactosyl group,binding site:UDP-N-acetyl-galactosamine,chain:Fucosylglycoprotein alpha-N- acetylgalactosaminyltransferase soluble form,chain:Histo-blood group ABO system transferase,glycosylation site:N-linked (GlcNAc...),helix,metal ion-binding site:Manganese,mutagenesis site,region of interest:UDP-N-acetyl-galactosamine binding,sequence variant,strand,topological domain:Cytoplasmic,topological domain:Lumenal,transmembrane region,turn,
206134_at	ADAM like decysin 1(ADAMDEC1)	Homo sapiens				GO:0006508~proteolysis,GO:0006955~immune response,GO:0007162~negative regulation of cell adhesion,GO:0007229~integrin-mediated signaling pathway,	GO:0005576~extracellular region,	GO:0004222~metalloendopeptidase activity,GO:0008270~zinc ion binding,	IPR001590:Peptidase M12B, ADAM/reprolysin,IPR001762:Blood coagulation inhibitor, Disintegrin,IPR002870:Peptidase M12B, propeptide,IPR024079:Metallopeptidase, catalytic domain,				SM00050:DISIN,	Alternative splicing,Complete proteome,Disulfide bond,Glycoprotein,Hydrolase,Integrin,Metal-binding,Metalloprotease,Polymorphism,Protease,Reference proteome,Secreted,Signal,Zinc,Zymogen,	chain:ADAM DEC1,disulfide bond,domain:Disintegrin,domain:Peptidase M12B,glycosylation site:N-linked (GlcNAc...),metal ion-binding site:Zinc; catalytic,sequence variant,signal peptide,
214895_s_at, 202603_at, 202604_x_at	ADAM metallopeptidase domain 10(ADAM10)	Homo sapiens		h_appPathway:Generation of amyloid b-peptide by PS1,		GO:0001701~in utero embryonic development,GO:0006468~protein phosphorylation,GO:0006509~membrane protein ectodomain proteolysis,GO:0007162~negative regulation of cell adhesion,GO:0007219~Notch signaling pathway,GO:0007220~Notch receptor processing,GO:0007229~integrin-mediated signaling pathway,GO:0007267~cell-cell signaling,GO:0008284~positive regulation of cell proliferation,GO:0010820~positive regulation of T cell chemotaxis,GO:0016485~protein processing,GO:0022617~extracellular matrix disassembly,GO:0030307~positive regulation of cell growth,GO:0030335~positive regulation of cell migration,GO:0034612~response to tumor necrosis factor,GO:0042117~monocyte activation,GO:0048013~ephrin receptor signaling pathway,GO:0051088~PMA-inducible membrane protein ectodomain proteolysis,GO:0051089~constitutive protein ectodomain proteolysis,	GO:0000139~Golgi membrane,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005794~Golgi apparatus,GO:0005798~Golgi-associated vesicle,GO:0005886~plasma membrane,GO:0005925~focal adhesion,GO:0009986~cell surface,GO:0014069~postsynaptic density,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0043231~intracellular membrane-bounded organelle,GO:0070062~extracellular exosome,GO:0097038~perinuclear endoplasmic reticulum,GO:0097197~tetraspanin-enriched microdomain,	GO:0004175~endopeptidase activity,GO:0004222~metalloendopeptidase activity,GO:0005102~receptor binding,GO:0005178~integrin binding,GO:0005515~protein binding,GO:0008237~metallopeptidase activity,GO:0017124~SH3 domain binding,GO:0019901~protein kinase binding,GO:0042803~protein homodimerization activity,GO:0046872~metal ion binding,	IPR001590:Peptidase M12B, ADAM/reprolysin,IPR001762:Blood coagulation inhibitor, Disintegrin,IPR002870:Peptidase M12B, propeptide,IPR024079:Metallopeptidase, catalytic domain,IPR027053:Disintegrin and metalloproteinase domain-containing protein 10,	hsa05010:Alzheimer's disease,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,	615537~Reticulate acropigmentation of Kitamura,615590~Alzheimer disease 18, susceptibility to,		SM00050:DISIN,	3D-structure,Alternative splicing,Alzheimer disease,Amyloidosis,Cell membrane,Cleavage on pair of basic residues,Complete proteome,Direct protein sequencing,Disease mutation,Disulfide bond,Glycoprotein,Golgi apparatus,Hydrolase,Membrane,Metal-binding,Metalloprotease,Neurodegeneration,Notch signaling pathway,Phosphoprotein,Polymorphism,Protease,Proteomics identification,Reference proteome,SH3-binding,Signal,Transmembrane,Transmembrane helix,Zinc,Zymogen,	chain:Disintegrin and metalloproteinase domain- containing protein 10,compositionally biased region:Cys-rich,disulfide bond,domain:Disintegrin,domain:Peptidase M12B,glycosylation site:N-linked (GlcNAc...),metal ion-binding site:Zinc; catalytic,metal ion-binding site:Zinc; in inhibited form,sequence conflict,short sequence motif:Cysteine switch,short sequence motif:SH3-binding,signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
207880_at	ADAM metallopeptidase domain 11(ADAM11)	Homo sapiens				GO:0006508~proteolysis,GO:0007229~integrin-mediated signaling pathway,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0031012~extracellular matrix,	GO:0004222~metalloendopeptidase activity,GO:0005178~integrin binding,GO:0008237~metallopeptidase activity,	IPR000742:Epidermal growth factor-like domain,IPR001590:Peptidase M12B, ADAM/reprolysin,IPR001762:Blood coagulation inhibitor, Disintegrin,IPR002870:Peptidase M12B, propeptide,IPR006586:ADAM, cysteine-rich,IPR013032:EGF-like, conserved site,IPR013111:EGF, extracellular,IPR018358:Disintegrin, conserved site,IPR024079:Metallopeptidase, catalytic domain,				SM00050:DISIN,SM00608:ACR,	Alternative splicing,Cleavage on pair of basic residues,Complete proteome,Disulfide bond,EGF-like domain,Glycoprotein,Integrin,Membrane,Polymorphism,Proteomics identification,Reference proteome,Signal,Transmembrane,Transmembrane helix,	chain:Disintegrin and metalloproteinase domain- containing protein 11,compositionally biased region:Cys-rich,disulfide bond,domain:Disintegrin,domain:EGF-like,domain:Peptidase M12B,glycosylation site:N-linked (GlcNAc...),sequence conflict,sequence variant,signal peptide,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
215613_at, 213790_at, 204943_at, 202952_s_at	ADAM metallopeptidase domain 12(ADAM12)	Homo sapiens		h_cardiacEGFPathway:Role of EGF Receptor Transactivation by GPCRs in Cardiac Hypertrophy,		GO:0006508~proteolysis,GO:0007155~cell adhesion,GO:0007229~integrin-mediated signaling pathway,GO:0007520~myoblast fusion,	GO:0005576~extracellular region,GO:0005654~nucleoplasm,GO:0005739~mitochondrion,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0004222~metalloendopeptidase activity,GO:0008237~metallopeptidase activity,GO:0017124~SH3 domain binding,GO:0046872~metal ion binding,	IPR000742:Epidermal growth factor-like domain,IPR001590:Peptidase M12B, ADAM/reprolysin,IPR001762:Blood coagulation inhibitor, Disintegrin,IPR002870:Peptidase M12B, propeptide,IPR006586:ADAM, cysteine-rich,IPR018358:Disintegrin, conserved site,IPR024079:Metallopeptidase, catalytic domain,				SM00050:DISIN,SM00608:ACR,	Alternative splicing,Cell adhesion,Cell membrane,Cleavage on pair of basic residues,Complete proteome,Disulfide bond,EGF-like domain,Glycoprotein,Hydrolase,Integrin,Membrane,Metal-binding,Metalloprotease,Phosphoprotein,Polymorphism,Protease,Proteomics identification,Reference proteome,Secreted,SH3-binding,Signal,Transmembrane,Transmembrane helix,Zinc,Zymogen,	chain:Disintegrin and metalloproteinase domain- containing protein 12,compositionally biased region:Cys-rich,disulfide bond,domain:Disintegrin,domain:EGF-like,domain:Peptidase M12B,glycosylation site:N-linked (GlcNAc...),metal ion-binding site:Zinc; catalytic,metal ion-binding site:Zinc; in inhibited form,modified residue,sequence variant,short sequence motif:Cysteine switch,short sequence motif:SH3-binding; class I,short sequence motif:SH3-binding; class II,signal peptide,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
217007_s_at	ADAM metallopeptidase domain 15(ADAM15)	Homo sapiens				GO:0001525~angiogenesis,GO:0001953~negative regulation of cell-matrix adhesion,GO:0006508~proteolysis,GO:0006915~apoptotic process,GO:0007160~cell-matrix adhesion,GO:0007229~integrin-mediated signaling pathway,GO:0008584~male gonad development,GO:0022617~extracellular matrix disassembly,GO:0030308~negative regulation of cell growth,GO:0030336~negative regulation of cell migration,GO:0030574~collagen catabolic process,GO:0042246~tissue regeneration,GO:0045087~innate immune response,GO:0060317~cardiac epithelial to mesenchymal transition,GO:0070528~protein kinase C signaling,GO:1900121~negative regulation of receptor binding,	GO:0001669~acrosomal vesicle,GO:0005886~plasma membrane,GO:0005912~adherens junction,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0042995~cell projection,GO:0070062~extracellular exosome,	GO:0004222~metalloendopeptidase activity,GO:0005178~integrin binding,GO:0005515~protein binding,GO:0008237~metallopeptidase activity,GO:0017124~SH3 domain binding,GO:0046872~metal ion binding,	IPR000742:Epidermal growth factor-like domain,IPR001590:Peptidase M12B, ADAM/reprolysin,IPR001762:Blood coagulation inhibitor, Disintegrin,IPR002870:Peptidase M12B, propeptide,IPR006586:ADAM, cysteine-rich,IPR013032:EGF-like, conserved site,IPR024079:Metallopeptidase, catalytic domain,				SM00050:DISIN,SM00608:ACR,	Alternative splicing,Angiogenesis,Cell adhesion,Cell junction,Cell projection,Cleavage on pair of basic residues,Collagen degradation,Complete proteome,Cytoplasmic vesicle,Disulfide bond,EGF-like domain,Glycoprotein,Hydrolase,Membrane,Metal-binding,Metalloprotease,Phosphoprotein,Polymorphism,Protease,Reference proteome,SH3-binding,Signal,Transmembrane,Transmembrane helix,Zinc,Zymogen,	chain:Disintegrin and metalloproteinase domain- containing protein 15,compositionally biased region:Cys-rich,disulfide bond,domain:Disintegrin,domain:EGF-like,domain:Peptidase M12B,glycosylation site:N-linked (GlcNAc...),metal ion-binding site:Zinc; catalytic,metal ion-binding site:Zinc; in inhibited form,modified residue,sequence conflict,sequence variant,short sequence motif:Cell attachment site,short sequence motif:Cysteine switch,short sequence motif:SH3-binding,signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
